Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
Allegheny Center,1,1144,182,603,132,365,191,0,10,112,73,0,10,0,10,64,49,0,10,64,49
Allegheny West,2,340,103,278,87,25,22,0,10,0,10,0,10,0,10,37,32,0,10,37,32
Allentown,3,2624.0,499.013025882,1438.0,350.058566529,1005.0,466.086901768,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,7.0,19.8997487421,174.0,132.815661727,0.0,17.3205080757,174.0,132.815661727
Arlington,4,1900.0,369.135476485,1476.0,297.887562681,408.0,234.618839824,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,16.0,26.3058928759,0.0,17.3205080757,16.0,26.3058928759
Arlington Heights,5,380,196,69,89,275,191,0,10,0,10,0,10,0,10,36,57,0,10,36,57
Banksville,6,4132.0,504.457133957,3328.0,438.085608072,242.0,159.163438013,21.0,27.3678643668,358.0,275.365212037,0.0,20.0,0.0,20.0,183.0,163.04293913,24.0,39.9499687109,159.0,160.118705965
Bedford Dwellings,7,1175,170,28,36,1101,175,37,59,9,14,0,10,0,10,0,10,0,10,0,10
Beechview,8,8227.0,765.057514179,6609.0,676.677175617,1094.0,340.396827248,6.0,31.6227766016,108.0,133.184083133,0.0,31.6227766016,71.0,82.1279489578,339.0,167.43058263,27.0,41.6173040933,312.0,165.012120767
Beltzhoover,9,1911.0,347.266468292,109.0,81.9573059587,1584.0,337.013352851,0.0,20.0,35.0,55.7584074378,0.0,20.0,54.0,85.7671265696,129.0,80.4487414445,0.0,20.0,129.0,80.4487414445
Bloomfield,10,8794.0,537.620684124,7488.0,510.951073979,735.0,234.951058733,17.0,34.7850542618,432.0,139.59584521,0.0,31.6227766016,2.0,30.2654919009,120.0,56.9736781331,0.0,31.6227766016,120.0,56.9736781331
Bluff,11,6027.0,686.186563553,4456.0,512.079095453,1194.0,228.694118858,16.0,26.4575131106,147.0,64.0624695122,0.0,20.0,0.0,20.0,214.0,94.6836839165,8.0,24.269322199,206.0,89.7552226894
Bon Air,12,832,175,816,176,0,10,0,10,16,55,0,10,0,10,0,10,0,10,0,10
Brighton Heights,13,7344.0,529.285367264,5526.0,428.300128414,1526.0,353.95056152,21.0,28.319604517,47.0,45.5302097513,0.0,26.4575131106,2.0,24.8193472919,222.0,111.211510195,4.0,25.7681974535,218.0,110.684235554
Brookline,14,13298.0,937.65825331,11661.0,892.298156449,663.0,241.47256573,19.0,41.7731971485,229.0,141.770942015,0.0,38.729833462,59.0,69.3541635375,667.0,231.833992329,10.0,40.6939798987,657.0,231.30499346
California-Kirkbride,15,830,200,137,63,672,212,0,10,0,10,0,10,0,10,21,18,16,17,5,7
Carrick,16,10056.0,789.401672154,8225.0,682.835265639,975.0,380.787342226,19.0,36.414282912,270.0,176.892622797,0.0,36.0555127546,31.0,51.3614641535,536.0,262.040073271,0.0,36.0555127546,536.0,262.040073271
Central Business District,17,4086.0,503.586139602,2908.0,428.800652984,659.0,183.283932739,16.0,29.4618397253,382.0,136.235090927,6.0,24.4948974278,2.0,22.7156333831,113.0,78.6701976609,46.0,73.4846922836,67.0,39.862262856
Central Lawrenceville,18,4518.0,422.947987346,3941.0,406.511992443,345.0,192.223827868,0.0,24.4948974278,72.0,49.9399639567,0.0,24.4948974278,27.0,36.7831483155,133.0,91.4002188181,21.0,38.2230297072,112.0,85.8312297477
Central Northside,19,2912.0,337.237305172,1539.0,247.685284181,1178.0,284.819240923,7.0,14.0356688476,23.0,29.5972971739,0.0,17.3205080757,108.0,141.385996478,57.0,47.4236228055,1.0,14.2828568571,56.0,47.4236228055
Central Oakland,20,5644.0,581.320909653,4601.0,515.350366256,334.0,153.759552549,0.0,17.3205080757,360.0,215.872647642,0.0,17.3205080757,55.0,64.5677938295,294.0,143.464281269,29.0,36.8510515454,265.0,138.949631162
Chartiers City,21,414,136,34,29,311,99,0,10,0,10,0,10,0,10,69,71,0,10,69,71
Chateau,22,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Crafton Heights,23,3732.0,320.224920954,2562.0,230.822442582,998.0,242.485051085,0.0,20.0,0.0,20.0,17.0,32.0780298647,56.0,46.8294778958,99.0,54.9090156532,0.0,20.0,99.0,54.9090156532
Crawford-Roberts,24,2162.0,351.069793631,184.0,106.301458127,1784.0,314.796759831,21.0,31.6227766017,0.0,14.1421356237,0.0,14.1421356237,91.0,149.335193441,82.0,95.5248658727,0.0,14.1421356237,82.0,95.5248658727
Duquesne Heights,25,2568.0,359.562233834,2469.0,355.225280632,6.0,14.8660687473,5.0,13.4536240471,36.0,47.0744091838,0.0,14.1421356237,0.0,14.1421356237,52.0,63.7887137353,0.0,14.1421356237,52.0,63.7887137353
East Allegheny,26,2271.0,288.300190773,1352.0,213.581366228,783.0,226.344869613,4.0,12.8062484749,39.0,31.064449134,0.0,14.1421356237,46.0,38.6005181312,47.0,37.1214223865,0.0,14.1421356237,47.0,37.1214223865
East Carnegie,27,551,120,435,139,108,80,0,10,0,10,0,10,0,10,8,20,0,10,8,20
East Hills,28,2980.0,412.905558209,199.0,153.554550568,2633.0,413.817592666,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,148.0,102.92230079,0.0,17.3205080757,148.0,102.92230079
East Liberty,29,5553.0,558.707436857,1621.0,259.183332797,3284.0,484.23444735,5.0,28.6530975638,520.0,247.995967709,0.0,28.2842712474,51.0,61.522353661,72.0,58.0775343829,0.0,28.2842712474,72.0,58.0775343829
Elliott,30,2452.0,358.699038192,1828.0,353.001416428,365.0,203.504299709,14.0,26.1533936613,78.0,104.316825105,0.0,17.3205080757,14.0,26.1533936613,153.0,163.456416209,0.0,17.3205080757,153.0,163.456416209
Esplen,31,273,110,240,103,12,19,9,13,12,20,0,10,0,10,0,10,0,10,0,10
Fairywood,32,1208,261,875,198,262,170,0,10,71,86,0,10,0,10,0,10,0,10,0,10
Fineview,33,1313.0,271.311628944,364.0,144.450683626,918.0,278.064740663,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,17.0,23.2594066992,14.0,19.1049731745,0.0,14.1421356237,14.0,19.1049731745
Friendship,34,1768.0,260.415053328,1072.0,241.29857024,319.0,170.765921659,0.0,14.1421356237,260.0,143.223601407,0.0,14.1421356237,0.0,14.1421356237,117.0,73.4098086089,0.0,14.1421356237,117.0,73.4098086089
Garfield,35,3747.0,453.037526039,515.0,130.253598799,3033.0,445.44696654,15.0,26.2488094968,0.0,22.360679775,0.0,22.360679775,27.0,48.3321838944,157.0,77.8074546558,0.0,22.360679775,157.0,77.8074546558
Glen Hazel,36,686,324,182,164,504,220,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Greenfield,37,7465.0,697.648908836,6650.0,638.241333666,425.0,289.746440876,5.0,29.9999999999,234.0,134.29072939,0.0,29.9999999999,0.0,29.9999999999,151.0,104.527508341,0.0,29.9999999999,151.0,104.527508341
Hays,38,360,97,309,83,19,21,0,10,14,21,0,10,0,10,18,31,0,10,18,31
Hazelwood,39,4337.0,665.120289872,2158.0,359.890261052,1967.0,545.177952599,2.0,24.819347292,132.0,96.4572444142,0.0,26.4575131106,0.0,26.4575131106,78.0,79.9624912067,0.0,26.4575131106,78.0,79.9624912067
Highland Park,40,6928.0,895.175960355,4486.0,523.052578618,1869.0,643.962731841,0.0,28.2842712474,382.0,227.391732478,0.0,28.2842712474,28.0,53.0659966457,163.0,97.380696239,6.0,28.2842712474,157.0,95.8957767579
Homewood North,41,3235.0,429.78831999,38.0,44.6094160464,3114.0,433.836374685,4.0,20.8806130178,17.0,32.0156211872,0.0,22.360679775,5.0,21.5406592285,57.0,47.5709995691,0.0,22.360679775,57.0,47.5709995691
Homewood South,42,2361.0,323.807041307,70.0,49.3558507169,2172.0,307.087935288,0.0,24.4948974278,42.0,45.4312667664,0.0,24.4948974278,2.0,23.1516738056,75.0,68.9129886161,0.0,24.4948974278,75.0,68.9129886161
Homewood West,43,812.0,187.106921304,82.0,88.5663593019,694.0,188.308257918,0.0,14.1421356237,25.0,39.2937654088,0.0,14.1421356237,10.0,19.7230829233,1.0,10.7703296143,0.0,14.1421356237,1.0,10.7703296143
Knoxville,44,4194.0,747.622899595,1404.0,333.989520793,2439.0,716.580770047,7.0,24.4948974278,170.0,154.728794993,0.0,24.4948974278,22.0,40.6939798987,152.0,97.9540708699,0.0,24.4948974278,152.0,97.9540708699
Larimer,45,1655.0,343.611699452,176.0,149.883287928,1418.0,283.197810726,16.0,30.4138126515,0.0,20.0,0.0,20.0,0.0,20.0,45.0,39.7994974842,0.0,20.0,45.0,39.7994974842
Lincoln Place,46,3465.0,504.19539863,3324.0,493.357882272,0.0,22.360679775,0.0,22.360679775,41.0,52.0,0.0,22.360679775,0.0,22.360679775,100.0,117.711511756,0.0,22.360679775,100.0,117.711511756
Lincoln-Lemington-Belmar,47,4720.0,558.480080218,665.0,186.989304507,3718.0,510.06666231,11.0,24.3721152139,11.0,22.7376340018,0.0,24.4948974278,0.0,24.4948974278,315.0,169.54055562,20.0,32.8024389337,295.0,165.311826558
Lower Lawrenceville,48,2552.0,390.128184063,2081.0,314.493243171,336.0,109.224539367,0.0,14.1421356237,0.0,14.1421356237,7.0,14.8660687473,0.0,14.1421356237,128.0,146.342065039,0.0,14.1421356237,128.0,146.342065039
Manchester,49,1838.0,265.096208951,458.0,148.529458358,1299.0,221.165096704,12.0,21.4709105536,11.0,19.7230829233,0.0,14.1421356237,0.0,14.1421356237,58.0,36.0693775937,0.0,14.1421356237,58.0,36.0693775937
Marshall-Shadeland,50,6628.0,1376.98620182,3335.0,636.033018011,2825.0,783.907520056,15.0,21.118712082,9.0,22.825424421,0.0,22.360679775,111.0,151.901283734,333.0,150.133274127,31.0,28.8617393793,302.0,150.362894359
Middle Hill,51,1685.0,282.225087474,168.0,106.583300756,1422.0,244.836680259,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,95.0,129.402472928,0.0,17.3205080757,95.0,129.402472928
Morningside,52,3326.0,438.047942582,2808.0,410.608085649,391.0,143.488675511,11.0,24.9799919936,39.0,41.5331193146,0.0,20.0,12.0,26.4575131106,65.0,64.6683848569,0.0,20.0,65.0,64.6683848569
Mount Oliver Borough,53,3400.0,589.656679772,1805.0,349.871404948,1238.0,446.381003181,5.0,20.0,240.0,260.023075899,0.0,20.0,18.0,44.5084261685,94.0,79.8373346248,0.0,20.0,94.0,79.8373346248
Mount Washington,54,8769.0,630.477596748,7623.0,570.53834227,947.0,249.140522597,6.0,29.3938769133,49.0,49.5580467735,10.0,33.5261092285,0.0,29.9999999999,134.0,81.3326502704,0.0,29.9999999999,134.0,81.3326502704
Mt. Oliver,55,532,111,292,73,226,111,2,4,0,10,0,10,0,10,12,20,0,10,12,20
New Homestead,56,933,81,811,78,70,55,0,10,4,7,0,10,0,10,48,39,0,10,48,39
North Oakland,57,9802.0,639.277717429,6952.0,528.992438509,831.0,197.919175422,16.0,38.2230297072,1574.0,317.03785263,9.0,26.3818119165,119.0,117.584012519,301.0,162.809704871,20.0,35.8329457344,281.0,160.89437529
North Shore,58,187.0,52.9528091795,172.0,50.9901951359,0.0,14.1421356237,0.0,14.1421356237,15.0,20.591260282,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237
Northview Heights,59,1380,329,62,46,1287,319,0,10,0,10,0,10,0,10,31,35,0,10,31,35
Oakwood,60,1087,150,989,148,38,34,9,12,20,30,0,10,0,10,31,27,0,10,31,27
Overbrook,61,3732.0,388.140438501,3514.0,378.515521478,121.0,92.1032029845,0.0,22.360679775,73.0,96.2133046933,0.0,22.360679775,0.0,22.360679775,24.0,25.5734237051,0.0,22.360679775,24.0,25.5734237051
Perry North,62,4124.0,504.525519672,2539.0,296.872026301,1446.0,437.705380364,4.0,23.1516738056,4.0,23.4307490277,0.0,24.4948974278,13.0,25.3377189187,118.0,103.169763012,70.0,95.3152663533,48.0,44.4634681509
Perry South,63,3453.0,474.795745558,1044.0,215.835585574,2303.0,431.080038972,10.0,23.6008474424,19.0,29.7489495612,0.0,24.4948974278,0.0,24.4948974278,77.0,50.0199960016,7.0,24.9198715887,70.0,49.8096376217
Point Breeze,64,5354.0,363.534042423,4734.0,351.471193699,244.0,118.646533872,24.0,29.0,276.0,122.396895385,0.0,26.4575131106,0.0,26.4575131106,76.0,54.4701753256,8.0,27.7308492478,68.0,52.2494019105
Point Breeze North,65,1783.0,282.561497731,927.0,171.333009079,824.0,259.917294538,0.0,17.3205080757,32.0,40.6078810085,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757
Polish Hill,66,1453.0,219.859045754,1264.0,205.866461572,149.0,109.567330897,0.0,14.1421356237,0.0,14.1421356237,1.0,11.6619037897,4.0,12.2065556157,35.0,37.6961536499,0.0,14.1421356237,35.0,37.6961536499
Regent Square,67,1009,81,984,85,0,10,0,10,25,27,0,10,0,10,0,10,0,10,0,10
Ridgemont,68,277,98,211,70,31,30,0,10,0,10,0,10,0,10,35,40,0,10,35,40
Shadyside,69,13398.0,869.55045857,9460.0,763.960077491,556.0,233.715639186,32.0,48.1352261864,3143.0,490.469163149,0.0,37.4165738677,51.0,59.6154342432,156.0,82.0000000001,10.0,39.8622628558,146.0,81.6333265279
Sheraden,70,4984.0,557.794765124,2537.0,413.239639918,1999.0,439.512229636,0.0,24.4948974278,177.0,128.46011054,0.0,24.4948974278,15.0,32.0780298647,256.0,106.442472726,0.0,24.4948974278,256.0,106.442472726
South Oakland,71,3039.0,499.884986772,2204.0,407.212475251,494.0,229.775977857,0.0,20.0,286.0,257.134206204,0.0,20.0,1.0,17.5783958312,54.0,42.7200187266,0.0,20.0,54.0,42.7200187266
South Shore,72,12,14,12,14,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
South Side Flats,73,6819.0,875.066854589,6374.0,865.695674011,105.0,69.4910066124,19.0,36.6196668472,184.0,106.869078783,0.0,24.4948974278,131.0,159.655879941,6.0,25.3771550809,0.0,24.4948974278,6.0,25.3771550809
South Side Slopes,74,4672.0,601.426637255,4181.0,550.957348622,147.0,94.6731218456,2.0,24.819347292,37.0,52.1152568832,0.0,26.4575131106,13.0,27.5680975042,292.0,185.221489034,0.0,26.4575131106,292.0,185.221489034
Spring Garden,75,777.0,135.074053763,545.0,133.146535817,109.0,73.6613874428,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,123.0,46.0977222865,96.0,73.6817480792,27.0,50.0099990002
Spring Hill-City View,76,2486.0,487.407427108,1544.0,260.4208133,776.0,375.138641038,0.0,17.3205080757,84.0,116.056020955,0.0,17.3205080757,74.0,113.881517376,8.0,19.2093727123,0.0,17.3205080757,8.0,19.2093727123
Squirrel Hill North,77,11796.0,814.902448151,9227.0,712.071625611,694.0,220.977374406,59.0,65.084560381,1462.0,264.730051184,0.0,31.6227766016,123.0,78.0128194594,231.0,102.791050194,24.0,36.7287353445,207.0,95.7026645397
Squirrel Hill South,78,15460.0,896.770316189,13060.0,853.166455036,285.0,129.182042095,23.0,45.1774279923,1702.0,418.351526828,0.0,36.0555127546,94.0,85.0705589495,296.0,142.464030548,0.0,36.0555127546,296.0,142.464030548
St. Clair,79,301,92,115,64,179,100,0,10,0,10,0,10,0,10,7,14,0,10,7,14
Stanton Heights,80,5057.0,501.279363229,2692.0,335.195465363,2176.0,386.86560974,9.0,22.2710574513,45.0,73.0821455623,0.0,20.0,0.0,20.0,135.0,119.916637711,0.0,20.0,135.0,119.916637711
Strip District,81,689,109,560,90,52,49,0,10,77,44,0,10,0,10,0,10,0,10,0,10
Summer Hill,82,1168,88,961,116,207,107,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Swisshelm Park,83,1286,99,1171,106,47,45,0,10,39,52,0,10,0,10,29,36,0,10,29,36
Terrace Village,84,2453.0,385.888584957,937.0,235.357175374,1403.0,217.009216395,9.0,17.9164728672,73.0,52.8772162656,0.0,17.3205080757,5.0,16.2480768093,26.0,28.0891438104,0.0,17.3205080757,26.0,28.0891438104
Troy Hill,85,2401.0,349.161853587,2030.0,359.610900836,221.0,199.251097864,0.0,14.1421356237,42.0,39.2937654088,0.0,14.1421356237,0.0,14.1421356237,108.0,78.8923316933,0.0,14.1421356237,108.0,78.8923316933
Upper Hill,86,1929.0,303.456751449,241.0,88.8031530972,1522.0,292.889057495,0.0,17.3205080757,142.0,148.67414032,0.0,17.3205080757,18.0,29.5972971739,6.0,17.3205080757,0.0,17.3205080757,6.0,17.3205080757
Upper Lawrenceville,87,2815.0,427.741744514,2311.0,354.729474389,325.0,237.50999979,0.0,17.3205080757,71.0,65.153664517,0.0,17.3205080757,12.0,23.6854385646,96.0,101.469207152,0.0,17.3205080757,96.0,101.469207152
West End,88,275,141,208,129,33,22,0,10,0,10,0,10,0,10,34,60,0,10,34,60
West Oakland,89,1757.0,396.682492681,650.0,252.335094666,895.0,222.62299971,0.0,14.1421356237,141.0,83.7615663655,16.0,29.7321374946,0.0,14.1421356237,55.0,34.6554469023,0.0,14.1421356237,55.0,34.6554469023
Westwood,90,3566.0,395.202479749,2899.0,332.266459336,104.0,55.9016994375,0.0,14.1421356237,268.0,173.611635555,8.0,16.4012194669,0.0,14.1421356237,287.0,214.10744966,0.0,14.1421356237,287.0,214.10744966
Windgap,91,1617.0,325.886483304,941.0,184.504742486,624.0,281.177879642,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,52.0,48.8364617883,0.0,14.1421356237,52.0,48.8364617883
